 138   4   3   2   2   3   33   3   3   4   4   21   166666666666666666666   2   1   26666   6666666666666666666666666   4   4   4   5   4   2   1   1   1   2   2   2   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   1   2   1   1   2   7   3   3   5   2   3   3   4   3   2   3   2   2   1   6   6   4   2   7   2   4   2   2   8   4   2   2   3   4   4   2   3   1   2  0.11334870,7043721691166180.1441856970,52081601211413626 736   666 666616 41666262666 866626666666666 766112661666142322211121212221222222 9 71121122 412222221221242221212214222111211 932 20  266612019
 415   4   3   2   2   5   34   4   3   3   3   11   2   1   2   2   2   2   1   16666   2   6666666666666   666666666   4   4   5   4   5   1   1   2   1   2   2   1   2   2   3   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   2   1   1   1   2   7   2   1   5   2   3   1   1   4   4   2   4   6   6   6   6   1   3   7   2   3   4   1   9   3   3   2   3   2   3   3   2   1   40.0974627280,5567510431355350.0534131351,33677432911232126 411   2 7 6663611044101212 7 62 566223 6 166 116211221666155112222212121221112212 8 41121212 426666666663221422244131122212113 822 66  6  532019
1560   3   2   2   2   3   33   2   4   3   3   31   2   2   1   2   2   2   2   16666   2   1   6   1   1666666666666   4   5   3   1   1   2   2   2   2   2   2   1   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   4   1   1   1   1   6   5   3   7   2   1   3   4   4   4   6   6   3   6   6   6   4   2   9   3   3   1   2   1   3   2   2   3   2   3   2   1   3   40.3458868440,3447635632244370.4566412160,86892514121133226 524   2 2 166666 72666661666 51666611666 26611462113232 4162521222222221222222222 7 31222222 226666666663332222812115122211314 525 41  466622019
 812   3   1   2   2   3   33   4   3   3   3   31   2   1   2   2   2   2   1   16666   2   1   466666666   1   6   1   4   4   5   3   4   2   1   1   1   2   2   1   2   2   1   2   2   2   2   2   2   2   1   1   2   2   2   2   2   2   2   3   2   2   2   7   2   2   4   3   2   3   2   3   3   3   2   6   6   6   6   4   2   7   2   2   2   2   5   2   2   2   3   3   2   3   2   3   4 0.221090950,9672904872144260.1782921292,23605978 21011626 411   2 7 166666 723 9661777 4166661166666 6 766211211666165121222222221122222222 9 51211122 326666666663232121222112222121214 522 46  466632019
 807   3   2   2   2   4   33   5   2   5   3   21   4   1   1   2   2   2   2   26666   3   1   6   1   1   766666666   4   5   5   5   5   2   1   1   2   2   2   1   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   1   3   1   8   1   7   3   1   4   2   4   4   4   4   4   4   3   3   6   6   6   2   2   8   4   3   4   2   5   2   2   2   2   4   1   2   3   4   41.5003600860,92774796 114431 1.371413530,67143940611011626 411   2 5 166666 722 76611 1 52 36611666 266 4464312332 424332122222222122221222210 42112222 312122222224122322212214222211322 633 61  6  542019
 534   4   2   2   2   3   33   5   2   4   3   31   2   1   2   2   2   2   2   26666   3   1   6   1   1   1   6   2   2   5   4   5   4   2   2   2   2   2   2   1   2   2   1   2   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   1   2   7   2   7   2   2   3   3   1   3   3   4   3   1   2   6   6   6   6   4   3   8   1   5   4   2   5   3   3   2   3   1   1   3   1   3   40.0762093770,4543309172144320.0674383510,57269649321011626 411   2 7 1666661044106611 1 42 4661166666 3 66611131266616212122222222122222222212101112122 426666666663222222812222122211213 723 46  4  412019
1216   3   2   2   2   3   34   5   2   4   2   31   4   1   1   2   2   2   2   26666   2   1   6   1   1   1   6   1   4   4   3   4   4   1   2   2   2   2   2   1   2   2   2   1   2   2   1   2   2   2   2   1   2   2   2   2   2   2   2   5   2   8   2   7   6   3   2   4   3   4   3   4   4   3   2   3   4   3   3   1   3   7   3   3   1   1   8   3   2   2   2   4   3   3   3   2   30.4510505161,0200612831122260.7215397593,4416048091 711626 313   2 4 166666 723 96611 1 52 56611666 266 11643123266615312222221212122221222211 51112222 426666666662232222111112222122123 723 66  6  442019
1469   3   1   2   2   4   33   4   3   3   3   21   166666666666666666666   2   2   16666   1   6   36666666666666666   2   4   5   5   5   1   1   2   1   2   2   1   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   3   1   1   8   2   8   3   1   5   3   1   3   4   4   4   6   4   6   6   6   6   1   2   6   4   3   3   2   3   2   1   3   3   3   2   3   2   2   40.0803440290,4678179071122410.1235556590,3290910171 611626 136   666 166666115666661666 52666611666 566 7361126632 421432122222222122222222210 91112122 426666666662222322215224222121312 524 36  366612019
  96   3   2   3   1   3   33   4   2   4   3   21   166666666666666666666   2   2   16666   6666666666666666666666666   3   5   5   4   5   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   2   3   2   1   2   6   2   4   7   2   1   3   3   4   3   6   3   3   6   6   6   4   3   8   2   4   2   1   8   4   2   4   4   4   3   2   2   1   1 0.382545910,7946796911166380.2673459220,48772331 11411626 736   666 666616104666262666 56666666666 5661146111111666153222222212222221222222 9 81112222 312222222211331122322131222121211 522 36  366612019
1054   2   2   2   1   3   35   4   2   5   2   31   2   1   2   2   2   2   2   16666   2   6666666666666   666666666   3   4   3   4   3   2   2   2   1   1   2   1   2   2   1   2   2   2   2   2   2   2   1   1   2   2   2   2   2   2   2   3   2   1   3   6   2   2   5   3   4   2   3   3   3   3   3   6   4   1   4   2   3   2   4   1   2   2   3   2   2   4   3   2   2   2   2   3   40.2398946020,6351368461166320.1551361080,34500408911311626 411   2 7 666611 931 52222 6 56 66666666 466113621266166615512222222112222122222210 61111212 326666666661241121221332222111312 422 47  4  532019
 266   3   3   2   2   4   34   5   2   4   3   31   3   1   1   2   2   2   2   16666   2   1   6   2   1   1   6   1   4   5   5   5   5   1   1   2   1   2   2   2   2   2   1   2   2   2   2   2   2   2   1   1   2   2   2   2   2   2   2   1   1   8   1   7   5   2   4   3   3   3   3   4   4   4   3   4   6   6   6   3   3   6   5   2   2   1   8   2   2   4   3   4   2   3   2   4   40.2775891410,9682938911144460.2195699770,82924886711011626 411   2 7 1666661155116611 1 51 96211666 566114631132166615522122222222112222222113101121121 626666666662231321222224122122123 525 36  3  342019
1099   3   3   2   2   1   11   1   4   1   4   31   4   1   1   2   2   2   2   16666   1   1   266666666   1   26666   2   5   5   3   5   1   2   2   1   1   2   1   2   2   1   2   2   2   2   2   2   2   1   1   1   2   2   2   2   2   2   2   2   1   1   6   4   2   5   3   2   2   4   4   4   1   6   6   6   6   6   3   3   7   2   3   4   2   7   3   2   1   3   3   3   3   1   3   40.5020242180,4705475592133350.4671645690,7617964572 911626 411   2 7 1666661044106611 1 52 56611666 366 63643266166617512122222222122221222212 71111111 226666666661341111133214222111313 222 46  4  442019
1337   2   2   2   1   3   35   5   1   5   2   31   2   1   2   2   2   2   2   26666   1   6666666666666   666666666   3   4   5   4   5   2   2   2   2   2   2   2   2   2   3   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   2   2   1   1   3   2   2   1   3   2   4   3   2   4   4   3   3   6   6   6   6   1   2   6   3   3   2   2   5   2   2   3   3   3   2   2   2   1   30.0359052210,9576978241155220.0281203270,56044781811311626 411   2 7 666611 623 82222 6 46 4666666666 3 16621111166616522122222222222122222212 91121122 426666666662232121211121221112123 422 61  6  532019
1465   3   3   3   2   3   33   3   5   4   4   21   166666666666666666666   2   2   16666   1   466666666666666666666   4   5   5   5   5   1   2   1   2   2   2   1   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   2   2   2   3   2   6   2   4   4   1   1   3   4   4   4   3   6   6   6   6   3   3   2   1   3   1   4   1   9   4   3   4   4   1   1   3   1   2   10.5299450440,889440274114435 0.506933251,12329529111011626 136   666 166666 51666661666 52666621666 266 3261126631 5225522221222211222221122 3 11122222 126666666665211421211115222121414 532 56  5 6612018
 261   2   1   2   2   2   33   4   3   4   3   31   3   1   1   2   2   2   2   26666   3   1   6   1   1   866666666   4   5   3   5   3   2   2   1   2   2   2   2   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   2   2   1   7   2   7   2   2   2   3   2   3   3   4   4   1   2   6   1   6   2   3   2   5   4   3   1   2   5   2   2   1   3   2   3   3   2   3   3 0.211742550,7101515011333410.1968602271,4408678951 833226 313   2 4 2666661155116611 1 56 46651666 366 2462126632 422131211122222122222222212 91211221 526666666663231322123334121111222 521 47  4  432019
1594   3   3   2   2   3   33   4   3   4   4   31   166666666666666666666   1   2   26666   1   6   1   1666666666666   4   5   5   3   5   2   2   2   1   1   2   2   2   2   1   2   2   2   2   2   2   2   1   1   2   2   2   2   2   2   4   7   6   9   6   9   5   1   9   3   2   3   2   4   3   6   3   3   6   6   6   4   2   8   1   5   3   2   5   2   2   3   3   2   2   3   2   1   20.0980555450,77040211 1144120.1849560540,99552815611011626 536   666 166666 41666661666 2166661166666 4 166111122666131121222222221222222222 7 51122222 326666666662132121212111222122212 531 51  566612019
 649   4   2   1   2   5   15   5   1   5   2   31   3   1   1   2   2   2   2   26666   1   1   6   1   1   1   6   19999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999990.4383815810,5636699422133240.5110638010,8865995032 811626 411   2 6 166666 722 66611 1 62 566116668866101642266166615522122222222122222222277993222222 426666666664132721431115212222124 524 56  5  642019
 703   3   1   1   2   4   35   4   4   3   4   21   2   1   2   2   2   2   2   26666   2   1   6   2   1   666666666   4   4   5   5   5   2   2   1   1   2   2   2   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   2   1   1   5   2   6   2   2   6   2   3   3   3   4   4   3   2   6   2   6   3   4   3   6   2   2   1   2   5   2   2   1   2   2   2   4   1   4   40.2428416470,4621081461155480.1721514050,13302793911211626 313   2 2 1666611154106212 6 96 9186666666661166111212666163221222222222221222222 9 71222222 312222222211131222213211212222111 311 31  3  212019
 550   3   1   2   2   4   33   3   3   3   4   31   2   1   2   2   2   2   2   26666   1   6666666666666   666666666   3   5   5   5   5   1   2   2   1   2   2   2   2   2   1   2   2   2   2   2   2   2   1   1   2   2   2   2   2   2   3   1   2   1   2   6   2   2   5   3   2   2   2   4   4   3   3   6   3   6   6   4   2   8   3   3   3   2   5   4   2   2   3   4   3   3   2   2   20.1136131693,5175919352166140.1113663242,37771538 21411626 411   2 7 666611 513 92222 6 66 66666666 666 7162126631 5254521222222222221222222 9 51111222 226666666662232122231111222121112 822 55  5  532019
