 4261 513626 136666 1612 126663 9 5613 666 526 55  56666666666666662412665666224299999999992222121222993882222222666666666 44132422434323 212221123 5321266588235515522222 7 3 76626666666610.9740981520.974098152122220.7055278060.7540967652112102
  9311211626 4112 7 6226666661511 5666 566 626 36  3 7223 561104  51111311666231222222222212221222212101111112121222212222 432321212213146622112112 8222151512235515121222 7 6 51126666666610.7586048560.758604856155410.7157675610.7099165572111 87
 30521119626 736666 72266663621 166666666666666666666666666666666662212661666155122222222212221122222 12 42222222666666666 341324223111156621222213 64521615121334334222117777 76626666666611.2956867071.29568670724417 1.65942212 2.233938167120 03
 57921411626 536666 6226666661511 166666 6 966 32  36666666666666661112661666234322212222222221222222101121211112666666666 512312211334316622212212 8223142512123344521222 1 1 12126666666610.3799877530.379987753266480.3657663350.4086420398111 97
 67611211626 4112 7 1612 12666511 5611 566 826 36  3 1616 166115  53211231666195222222222211122222212 91121112112666666666 222322211232226621122122 4222156510133424321222 7 8 31126666666610.3795321810.379532181155470.637611237 0.592196977211 23
 30021011626 4112 7 1612 52666511 161166 61066 41  4 3222 666115  35422661666165122222222211212221222 52111122111122222222 322323221211236622122213 62221514 9233444221122 2 1 31126666666610.7011813970.70118139724443 1.045890820.9708872913111 44
  1111011626 4112 6 1611662666511 5616 366 136 47  4 1616 566 62  64322662666142122222222211222222222 51111212221221222222 231222211221126622122113 0312151516232233321222 3 5 61112122222110.4875872580.487587258144450.2810759070.3375873845112 70
 1382 811626 4112 6 16116626662 7 661688661016 56  5 1616 566 62  64422661666155222222222211222222222993772222222666666666 441327214311156612222124 52412665162355555212227777 76626666666610.5636699420.563669942233240.4131874630.5269598854112 60
 94521111626 136666 1612 12666511 361466 61066 32  36666666666666661112661666225322222222211122222212101121111122666666666 51231122142554 222111113 82121515 9134424221222 3 2 21126666666610.6368748840.636874884244410.5779610950.7201780981111108
 2052 533226 1231 1 3226666166511 166666 5 966 32  366666666666666611126632 4313122222121222122221222 31 51222221122222222 22222411242225 222121413 4222121116122233322122 6 9 4112666666661 0.57725828 0.57725828222481.1121699841.6791723478111 97
 68821111626 4112 7 1612 62666410 5611 6661116 36  3 1616 566104  33211221666185522222222211222222222 82111122122666666666 422312211232316622122113 2231251516133323221122 3 1 76626666666610.6814963750.681496375244320.380103445 0.389514672111 76
 43821111626 3231 1 16116626661 1 162666 1 366 51  566666666666666611126631 5245322212222221222222222 41 62222222666666666 142321222111116612222224 5341256416233334321122 5 6 61212122222111.3482567321.348256732244120.9167700171.0774931372111 76
 4101 811626 6232 2 1611662666410 5616 366 146 47  46666666666666662222662666154222222122221222222222 71101222222666666666 342321221121126612222223 63421564 9233424221221 8 8 76626666666610.3400635540.340063554133340.4341192830.5353718234120 00
