"DEPCOM";"PTOT"
"03154";284
"03155";1879
"03156";1692
"03157";1004
"03158";879
"03159";782
"03160";407
"03161";903
"03162";204
"03163";773
"03164";272
"03165";1383
"03166";304
"03167";284
"03168";904
"03169";328
"03170";134
"03171";254
"03172";121
"03173";1138
"03174";909
"03175";281
"03176";543
"03177";258
"03178";305
"03179";299
"03180";672
"03181";304
"03182";264
"03183";468
"03184";504
"03185";34930
"03186";1524
"03187";631
"03188";214
"03189";724
"03190";19558
"03191";287
"03192";152
"03193";184
"03194";123
"03195";2544
"03196";222
"03197";1455
"03198";188
"03200";1547
"03201";308
"03202";614
"03203";387
"03204";627
"03205";439
"03206";172
"03207";511
"03208";417
"03209";149
"03210";398
"03211";2482
"03212";1499
"03213";250
"03214";381
"03215";558
"03216";173
"03217";758
"03218";269
"03219";213
"03220";704
"03221";727
"03222";90
"03223";454
"03224";291
"03225";453
"03226";250
"03227";373
"03228";40
"03229";619
"03230";527
"03231";189
"03232";307
"03233";400
"03234";375
"03235";976
"03236";3618
"03237";426
"03238";535
"03239";263
"03240";544
"03241";367
"03242";567
"03243";123
"03244";129
"03245";124
"03246";596
"03247";1076
"03248";168
"03249";163
"03250";351
"03251";377
"03252";668
"03253";397
"03254";5181
"03255";144
"03256";218
"03257";798
"03258";1716
"03259";341
"03260";224
"03261";182
"03262";2083
"03263";186
"03264";2560
"03265";676
"03266";265
"03267";678
"03268";385
"03269";86
"03270";145
"03271";811
"03272";288
"03273";500
"03274";316
"03275";1788
"03276";100
"03277";254
"03278";194
"03279";555
"03280";184
"03281";397
"03282";364
"03283";1095
"03284";302
"03285";177
"03286";1137
"03287";380
"03288";390
"03289";517
"03290";1636
"03291";409
"03292";888
"03293";274
"03294";165
"03295";76
"03296";377
"03297";1551
"03298";3593
"03299";236
"03300";537
"03301";1143
"03302";39
"03303";236
"03304";2232
"03305";598
"03306";1929
"03307";238
"03308";152
"03309";455
"03310";24849
"03311";312
"03312";277
"03313";275
"03314";1319
"03315";1305
"03316";1073
"03317";297
"03319";480
"03320";776
"03321";12896
"04001";1432
"04004";544
"04005";138
"04006";811
"04007";68
"04008";1036
"04009";15
"04012";96
"04013";599
"04016";62
"04017";98
"04018";999
"04019";2575
"04020";132
"04021";145
"04022";423
"04023";186
"04024";128
"04025";381
"04026";140
"04027";247
"04028";123
"04030";57
"04031";562
"04032";126
"04033";754
"04034";1137
"04035";290
"04036";959
"04037";74
"04039";1497
"04040";63
"04041";296
"04042";141
"04043";87
"04045";1203
"04046";686
"04047";849
"04049";5119
"04050";28
"04051";70
"04053";497
"04054";74
"04055";184
"04057";174
"04058";271
"04059";217
"04061";490
"04062";152
"04063";1196
"04065";641
"04066";572
"04067";52
"04068";834
"04069";134
"04070";16328
"04072";113
"04073";392
"04074";103
"04075";373
"04076";834
"04077";170
"04079";1380
"04081";396
"04084";490
"04085";56
"04086";312
"04087";130
"04088";5069
"04090";206
"04091";92
"04092";104
"04093";61
"04094";2635
"04095";90
"04096";1131
"04097";394
"04099";91
"04101";133
"04102";181
"04104";380
"04106";381
"04107";4
"04108";1967
"04109";328
"04110";1029
"04111";1354
"04112";22480
"04113";456
"04115";118
"04116";3740
"04118";123
"04120";119
"04121";645
"04122";511
"04123";1125
"04124";419
"04126";408
"04127";326
"04128";216
"04129";59
"04130";199
"04132";142
"04133";237
"04134";556
"04135";711
"04136";319
"04137";41
"04138";277
"04139";523
"04140";128
"04141";367
"04142";53
"04143";5891
"04144";350
"04145";1455
"04148";247
"04149";2824
"04150";194
"04151";506
"04152";3890
"04154";88
"04155";180
"04156";256
"04157";707
"04158";407
"04159";85
"04160";1679
"04161";333
"04162";263
"04163";544
"04164";87
"04166";1791
"04167";293
"04169";104
"04170";72
"04171";116
"04172";742
"04173";1007
"04174";147
"04175";90
"04176";119
"04177";43
"04178";1320
"04179";101
"04180";78
"04181";50
"04182";213
"04183";143
"04184";138
"04186";98
"04187";45
"04188";867
"04189";608
"04190";113
"04191";13
"04192";1238
"04193";179
"04194";95
"04195";611
"04197";3407
"04199";184
"04200";635
"04201";122
"04202";129
"04203";478
"04204";165
"04205";1371
"04206";425
"04207";104
"04208";599
"04209";7579
"04210";90
"04211";178
"04214";133
"04216";233
"04217";735
"04218";228
"04219";243
"04220";388
"04222";326
"04224";96
"04226";587
"04227";284
"04228";39
"04229";265
"04230";3188
"04231";247
"04233";265
"04234";234
"04235";60
"04236";109
"04237";127
"04240";248
"04241";192
"04242";4259
"04244";1643
"04245";3152
"05001";384
"05003";411
"05004";921
"05006";2268
"05007";361
"05008";363
"05009";102
"05010";812
"05011";410
"05012";612
"05013";132
"05014";220
"05016";255
"05017";2544
"05018";332
"05019";151
"05021";145
"05022";234
"05023";11081
"05024";221
"05025";213
"05026";287
"05027";193
"05028";142
"05029";856
"05031";186
"05032";136
"05033";40
"05035";30
"05036";1193
"05037";496
"05038";331
"05039";703
"05040";3055
"05044";125
"05045";1097
"05046";6234
"05047";130
"05048";200
"05049";56
"05050";808
"05051";30
"05052";806
"05053";530
"05054";434
"05055";326
"05056";333
"05057";249
"05058";213
"05059";876
"05060";173
"05061";40550
"05062";163
"05063";482
"05064";105
"05065";2334
"05066";8
"05068";453
"05070";3537
"05071";334
"05072";239
"05073";350
"05074";187
"05075";427
"05076";84
"05077";299
"05078";282
"05079";1056
"05080";60
"05081";54
"05082";174
"05084";460
"05085";456
"05086";104
"05087";520
"05089";80
"05090";214
"05091";42
"05092";756
"05093";356
"05094";16
"05095";297
"05096";670
"05097";354
"05098";556
"05099";104
"05100";731
"05101";1178
"05102";92
"05103";787
"05104";310
"05106";298
"05107";457
"05108";152
"05109";531
"05110";296
"05111";279
"05112";83
"05113";375
"05114";253
"05115";447
"05116";204
"05117";113
"05118";1345
"05119";647
"05121";173
"05122";813
"05123";1528
"05124";470
"05126";468
"05127";181
"05128";677
"05129";152
"05130";160
"05131";86
"05132";2048
"05133";1567
"05134";318
"05135";53
"05136";735
"05139";940
"05140";280
"05142";450
"05144";145
"05145";1063
"05146";132
"05147";361
"05148";533
"05149";356
"05151";1130
"05152";127
"05153";346
"05154";160
"05155";29
"05156";507
"05157";213
"05158";112
"05159";88
"05160";87
"05161";958
"05162";1490
"05163";145
"05164";1066
"05165";256
"05166";1285
"05167";89
"05168";688
"05169";35
"05170";2246
"05171";207
"05172";312
"05173";454
"05174";627
"05176";267
"05177";524
"05178";584
"05179";3199
"05180";539
"05181";300
"05182";42
"05183";1476
"05184";204
"06001";93
"06002";59
"06003";650
"06004";72902
"06005";172
"06006";2230
"06007";3224
"06008";31
"06009";107
"06010";2896
"06011";3730
"06012";13574
"06013";686
"06014";950
"06015";1246
"06016";538
"06017";252
"06018";9745
"06019";1651
"06020";570
"06021";737
"06022";560
"06023";2151
"06024";219
"06025";1416
"06026";1352
"06027";51404
"06028";416
"06029";73950
"06030";41463
"06031";1306
"06032";4529
"06033";12487
"06034";1635
"06035";1116
"06036";384
"06037";294
"06038";3646
"06039";932
"06040";63
"06041";398
"06042";662
"06043";825
"06044";7886
"06045";75
"06046";3453
"06047";95
"06048";7429
"06049";115
"06050";535
"06051";97
"06052";176
"06053";144
"06054";4660
"06055";145
"06056";141
"06057";2537
"06058";610
"06059";2225
"06060";1994
"06061";101
"06062";329
"06063";72
"06064";4134
"06065";6815
"06066";1594
"06067";1547
"06068";374
"06069";48855
"06070";578
"06071";616
"06072";178
"06073";667
"06074";1277
"06075";4726
"06076";45
"06077";1288
"06078";316
"06079";21830
"06080";105
"06081";136
"06082";102
"06083";30224
"06084";9909
"06085";19487
"06086";262
"06087";47
"06088";340961
"06089";2255
"06090";7991
"06091";2373
"06092";1462
"06093";214
"06094";780
"06095";8172
"06096";105
"06097";332
"06098";127
"06099";1860
"06100";233
"06101";196
"06102";90
"06103";1836
"06104";12821
"06105";6941
"06106";578
"06107";73
"06108";5387
"06109";944
"06110";120
"06111";146
"06112";3962
"06113";1341
"06114";5577
"06115";90
"06116";216
"06117";1130
"06118";3904
"06119";113
"06120";1513
"06121";1533
"06122";4157
"06123";28507
"06124";50
"06125";152
"06126";3059
"06127";1427
"06128";3323
"06129";307
"06130";3597
"06131";49
"06132";458
"06133";70
"06134";545
"06135";197
"06136";3817
"06137";1213
"06138";1350
"06139";108
"06140";3063
"06141";345
"06142";290
"06143";667
"06144";561
"06145";132
"06146";161
"06147";4960
"06148";4019
"06149";9983
"06150";3021
"06151";870
"06152";13255
"06153";835
"06154";459
"06155";27067
"06156";160
"06157";18666
"06158";769
"06159";5062
"06160";86
"06161";15777
"06162";695
"06163";2179
"07001";379
"07002";547
"07003";169
"07004";79
"07005";1452
"07006";159
"07007";974
"07008";1467
"07009";1202
"07010";16286
"07011";919
"07012";377
"07013";1257
"07014";326
"07015";527
"07017";752
"07018";43
"07019";12250
"07020";464
"07022";1207
"07023";377
"07024";663
"07025";208
"07026";255
"07027";1833
"07028";507
"07029";247
"07030";209
"07031";757
"07032";169
"07033";214
"07034";246
"07035";620
"07036";437
"07037";144
"07038";49
"07039";249
"07040";264
"07041";2345
"07042";7166
"07044";269
"07045";480
"07047";81
"07048";323
"07049";50
"07050";915
"07051";583
"07052";621
"07053";510
"07054";255
"07055";2954
"07056";922
"07058";1033
"07059";242
"07060";253
"07061";401
"07062";143
"07063";398
"07064";2914
"07065";234
"07066";3020
"07067";305
"07068";574
"07069";658
"07070";2274
"07071";789
"07072";1652
"07073";519
"07074";148
"07075";154
"07076";3014
"07077";249
"07078";3123
"07079";1137
"07080";294
"07081";59
"07082";206
"07083";433
"07084";1030
"07085";609
"07086";911
"07087";421
"07088";98
"07089";1673
"07090";1229
"07091";330
"07092";47
"07093";275
"07094";175
"07095";457
"07096";368
"07097";693
"07098";84
"07099";637
"07100";486
"07101";898
